eta,F,dF,d2F,G,dG
0,0,0,0.332057345610548,1,-0.728140515037453
0.1,0.00166028672805274,0.0332055048483865,0.332048157294511,0.927190985671393,-0.727939069847683
0.2,0.00664100908953616,0.0664077939545961,0.331983846645691,0.854452442751195,-0.726530485388899
0.3,0.0149414780856333,0.0995986012468145,0.331809358110262,0.781964985029684,-0.722720995398371
0.4,0.0265599031107501,0.132764164317682,0.331469853996229,0.710026761167372,-0.715360264506647
0.5,0.0414928437844338,0.165885257906762,0.33091096488256,0.639046830955331,-0.703389889325428
0.6,0.0597346665475847,0.198937257331776,0.330079137737004,0.569532885722382,-0.685907301104236
0.7,0.0812770095011843,0.231890241475069,0.328922078131997,0.502072030192894,-0.662239476201378
0.8,0.106108259904913,0.264709144465493,0.327389280761639,0.437304038730919,-0.632018134922535
0.9,0.134213049633835,0.297353964487587,0.325432639822247,0.37588745674732,-0.595245703232358
1,0.165571774687446,0.329780037158388,0.323007127809933,0.318460070173802,-0.552339959640469
1.1,0.200160145526804,0.361938379606029,0.320071528028101,0.265596469009872,-0.504145735288116
1.2,0.237948775549768,0.393776109745599,0.31658920273627,0.217766475381214,-0.451904822428723
1.3,0.278902815367985,0.425236943275365,0.312528875591126,0.175298848465867,-0.397180477445986
1.4,0.322981640689724,0.456261768628664,0.307865404040374,0.138354694519369,-0.341740048504957
1.5,0.370138601510046,0.486789297553916,0.302580514857515,0.106914264117608,-0.287407103179251
1.6,0.420320839939778,0.516756786220802,0.296663474285466,0.0807793237359649,-0.235901257433499
1.7,0.47346918335022,0.546100818851269,0.29011166351482,0.0595912394255972,-0.18868788847735
1.8,0.529518118564157,0.574758142957905,0.282931030657571,0.0428626661400698,-0.146859670254906
1.9,0.588395851590227,0.602666542464974,0.275136392142824,0.0300187498543525,-0.111066990308286
2,0.650024455894524,0.629765732427401,0.266751559646125,0.0204424530325351,-0.0815056301453997
2.1,0.714320110462528,0.655998256893057,0.257809273276062,0.0135182958292922,-0.0579595915963373
2.2,0.781193426972002,0.68131036981323,0.248350927694597,0.00866952116378829,-0.0398872019707181
2.3,0.850549863332809,0.705652877920591,0.238426084955418,0.00538524251515905,-0.0265320126640877
2.4,0.922290218723448,0.728981924265577,0.22809177582416,0.00323612409274223,-0.0170379522588115
2.5,0.996311203146071,0.751259691700105,0.217411599824987,0.00187910289937467,-0.0105507657199457
2.6,1.07250607251618,0.772455007050613,0.206454642802213,0.00105318175811614,-0.00629372544816356
2.7,1.15076531848519,0.79254382901324,0.195294238915649,0.000569160586208959,-0.00361292132205397
2.8,1.23097740064441,0.811509605866908,0.184006611220739,0.000296298557550372,-0.00199407167530511
2.9,1.31302950754992,0.829343492822172,0.172669430866358,0.000148459926597854,-0.00105729918729728
3,1.39680833219731,0.846044423050116,0.161360339089093,7.15381311859361e-05,-0.00053816593015339
3.1,1.4822008472051,0.861619030977312,0.150155478307535,3.31303095075348e-05,-0.000262802800933623
3.2,1.56909506505665,0.876081431078876,0.13912807856397,1.47379567885638e-05,-0.000123063015036401
3.3,1.65738076930181,0.889452859931523,0.128347143304671,6.29503048070229e-06,-5.5240564412901e-05
